date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:38	72/72	---MCZ	200	added ('OK')	text/plain	etag:W/%22658dcb7d7ffbd41:0%22	https://grandetest.com/robots.txt		(from )
10:28:38	86874/86874	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2016:11:40%20GMT	https://grandetest.com/theme/findhouse-html/index.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index.html	(from )
10:28:38	155147/155147	---MCZ	200	added ('OK')	text/css	etag:W/%22035895782d6d51:0%22	https://grandetest.com/theme/findhouse-html/css/bootstrap.min.css	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/css/bootstrap.min.css	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:38	411641/411641	---MCZ	200	added ('OK')	text/css	etag:W/%220b2cd89b9ffd61:0%22	https://grandetest.com/theme/findhouse-html/css/style.css	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/css/style.css	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:39	68947/68947	---MCZ	200	added ('OK')	text/css	etag:W/%220c7d4fbe5fed61:0%22	https://grandetest.com/theme/findhouse-html/css/responsive.css	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/css/responsive.css	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:39	106557/106557	---MCZ	200	added ('OK')	image/x-icon	etag:W/%220a2ba10e1bbd51:0%22	https://grandetest.com/theme/findhouse-html/images/favicon.ico	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/images/favicon.ico	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:39	3479/3479	---M--	200	added ('OK')	image/png	etag:%220e8eb35c2bbd51:0%22	https://grandetest.com/theme/findhouse-html/images/header-logo.png	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/images/header-logo.png	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:39	2896/2896	---M--	200	added ('OK')	image/png	etag:%2203cd660c2bbd51:0%22	https://grandetest.com/theme/findhouse-html/images/header-logo2.png	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/images/header-logo2.png	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:41	116011/116011	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2016:18:20%20GMT	https://grandetest.com/theme/findhouse-html/index2.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index2.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:41	85610/85610	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2015:39:38%20GMT	https://grandetest.com/theme/findhouse-html/index3.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index3.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:42	95886/95886	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2015:39:38%20GMT	https://grandetest.com/theme/findhouse-html/index4.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index4.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:43	73527/73527	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2014:58:36%20GMT	https://grandetest.com/theme/findhouse-html/index5.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index5.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:44	83384/83384	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2016:16:02%20GMT	https://grandetest.com/theme/findhouse-html/index6.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index6.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:44	55138/55138	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2014:56:54%20GMT	https://grandetest.com/theme/findhouse-html/index7.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index7.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:45	63851/63851	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2014:56:56%20GMT	https://grandetest.com/theme/findhouse-html/index9.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index9.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:45	77981/77981	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2014:56:54%20GMT	https://grandetest.com/theme/findhouse-html/index8.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/index8.html	(from https://grandetest.com/theme/findhouse-html/index.html)
10:28:45	81882/81882	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2016:10:34%20GMT	https://grandetest.com/theme/findhouse-html/page-listing-grid-v1.html	C:/Users/Mayur%20bhadani/Desktop/FindHouse/grandetest.com/theme/findhouse-html/page-listing-grid-v1.html	(from https://grandetest.com/theme/findhouse-html/index.html)
